grid2,grid1,module_similarity,village,grid_attr,grid_dist,sm_community
agriculture,agroforest,0.3584939460618358,Mandena,0.1517968664490902,7.140524100511219,0.3088606429681855
agriculture,brushy_regrowth,0.44144868843653196,Mandena,0.20370132843656288,6.427447563961465,0.2720219541450325
agroforest,brushy_regrowth,0.32617109492345886,Mandena,0.2908613654099341,7.53480367276775,0.31150776899791754
agriculture,flooded_rice,0.3940006150468939,Mandena,0.074152012160691,6.117324092339402,0.15140119062219218
agroforest,flooded_rice,0.36825741604300966,Mandena,0.09353373951687843,6.734741700582126,0.2604861929570742
brushy_regrowth,flooded_rice,0.4013910487869188,Mandena,0.25245710873687993,6.976177760646621,0.14571808543195278
agriculture,secondary_forest,0.28670075191801747,Mandena,0.3078071338592447,6.993340627920238,0.548201552291151
agroforest,secondary_forest,0.2615754706089989,Mandena,0.4152979303579239,7.75347403565848,0.5090831788128638
brushy_regrowth,secondary_forest,0.28300996394527933,Mandena,0.18994779721625055,6.161639591488101,0.3703549202295164
flooded_rice,secondary_forest,0.342815375743573,Mandena,0.3782651311495131,7.341360213105092,0.440353139636227
agriculture,semi-intact_forest,0.21370787146838244,Mandena,0.41725128613479057,7.5250380199854385,0.7216334422989799
agroforest,semi-intact_forest,0.22420455738934564,Mandena,0.5314239281878297,8.043497133857022,0.7342424134369088
brushy_regrowth,semi-intact_forest,0.2313840314253841,Mandena,0.29884076012581823,7.12464207953155,0.6446311193121119
flooded_rice,semi-intact_forest,0.2329753415366097,Mandena,0.490734021010952,7.739878990774524,0.6844091328455181
secondary_forest,semi-intact_forest,0.20092346670351835,Mandena,0.12861600625002614,6.6989042119930104,0.4361226676920399
agriculture,agroforest,0.35624412640574044,Sarahandrano,0.2400513509940105,6.909965373120289,0.4173850956289912
agriculture,brushy_regrowth,0.4072842443322804,Sarahandrano,0.11600838758216736,6.097538680455351,0.23183144866001307
agroforest,brushy_regrowth,0.2811703000564486,Sarahandrano,0.16056632379978725,7.223716615320625,0.5426434983019309
agriculture,flooded_rice,0.19345769061197482,Sarahandrano,0.3636885152773389,7.1867126494467275,0.289039242830919
agroforest,flooded_rice,0.11396596066885611,Sarahandrano,0.5478711697359524,7.736838669332712,0.3938246708560674
brushy_regrowth,flooded_rice,0.08843530623142437,Sarahandrano,0.44100355360716786,6.824615368333418,0.46018517609540555
agriculture,secondary_forest,0.2940039907846056,Sarahandrano,0.3640469999954499,7.171026796890075,0.7310094670680903
agroforest,secondary_forest,0.38672246093721263,Sarahandrano,0.18563862855218577,6.600099383152824,0.6892383065489552
brushy_regrowth,secondary_forest,0.19584366574833778,Sarahandrano,0.32211948050744743,7.463941735500759,0.7337950784512144
flooded_rice,secondary_forest,0.28125725640047405,Sarahandrano,0.5640339342894909,7.863732090786437,0.8735912879349941
agriculture,agroforest,0.34401764629373277,Andatsakala,0.20777553844664692,5.992657197398013,0.3987899927951179
agriculture,brushy_regrowth,0.3117464631999469,Andatsakala,0.4606215001899368,5.937732904158794,0.4507091819488805
agroforest,brushy_regrowth,0.31902016305388836,Andatsakala,0.3331317780636784,6.46905666933504,0.18736095278052525
agriculture,flooded_rice,0.2031363618203682,Andatsakala,0.45643471252513446,7.1900035482123545,0.6381069601612023
agroforest,flooded_rice,0.142832298940331,Andatsakala,0.33971383079393636,6.908941901432557,0.37717375656559615
brushy_regrowth,flooded_rice,0.358157409886554,Andatsakala,0.07065897127045341,7.40327443853001,0.4772601732112482
agriculture,secondary_forest,0.307841291329812,Andatsakala,0.191278343758434,6.631424334592731,0.3172632760175124
agroforest,secondary_forest,0.2420545544236371,Andatsakala,0.2854837293736746,6.932886410562221,0.39597792316359814
brushy_regrowth,secondary_forest,0.34267524587910025,Andatsakala,0.6220798887957512,5.966629774773428,0.4113826651260975
flooded_rice,secondary_forest,0.180254866634173,Andatsakala,0.6110641173328646,7.613831071105669,0.7182882109783897
agriculture,semi-intact_forest,0.11837928813708998,Andatsakala,0.31632190944097555,7.127059821344457,0.797199245853614
agroforest,semi-intact_forest,0.20060488535179088,Andatsakala,0.4938528738626287,7.353871528475763,0.7348070916284957
brushy_regrowth,semi-intact_forest,0.15604358754398617,Andatsakala,0.8447686194130628,6.821506061886066,0.7289603940921674
flooded_rice,semi-intact_forest,0.12407261766478561,Andatsakala,0.8390140000769055,7.846094595834041,1
secondary_forest,semi-intact_forest,0.18752468210360973,Andatsakala,0.2508887775325279,6.317906762884179,0.6335490616168716
