grid_village,veg_PC1,veg_PC2,sm_PC1,sm_PC2,dist_to_village,elevation
Andatsakala_agriculture,-0.23035586223080845,-0.2823642133728776,6.005278540613055,4.008401893800784,1007.3074722541146,372.16791031249994
Mandena_agriculture,1.6723292879360376,-0.3077822124410528,9.375000512945618,1.2002173984733,1800.9397563453927,131.04030064242409
Sarahandrano_agriculture,1.905436216969179,0.623770643442887,6.297189300940629,-4.902123952358536,1014.5434010073983,601.0414201183432
Andatsakala_agroforest,1.401245252870036,-0.22674288327278558,7.8731738022148745,0.9991007652275542,617.490228755536,265.3495496509433
Mandena_agroforest,1.6248654320036628,0.37110546595184296,8.18314077187801,-0.3952180469368994,600.5734877873211,95.02052063571422
Sarahandrano_agroforest,0.8955035881679162,0.03116858702795659,5.127906852944252,-2.564773961848287,2016.7553990751126,737.7677419354839
Andatsakala_brushy_regrowth,2.766261104113431,-0.06290128480425998,7.08622974702859,0.4611490417261194,1249.8732925327565,388.26558063953473
Mandena_brushy_regrowth,-0.16492523752158636,-2.0815582340641647,7.077710718676878,3.5923268651138116,2419.3572721844594,148.35447619999962
Sarahandrano_brushy_regrowth,2.114812624294435,-0.441864277125941,7.3531885483847566,-5.471799411811739,734.1123483952401,593.2630573248407
Andatsakala_flooded_rice,2.0418938840810523,1.169880004749931,4.973983012620354,-3.538587008031743,513.0988117800784,105.5139607187498
Mandena_flooded_rice,1.7575534811779054,0.36672046965378635,8.638629508572857,2.0698493570389647,1352.5523758900704,118.13919873376615
Sarahandrano_flooded_rice,1.1099216491864956,2.0664573596581004,6.530681964334856,-4.940295871208203,496.04434829249084,481.44268292682926
Andatsakala_secondary_forest,-1.6688714784117349,-1.2655068999730648,4.888099748508261,3.07315112905798,1614.1010056368057,534.1778385365849
Mandena_secondary_forest,-1.9788079422407943,-0.0049456958342228895,4.1122272461702725,5.041962128261376,2887.094278719948,201.99339297468325
Sarahandrano_secondary_forest,-0.9194205654538455,-2.09040367367659,4.4820098723149275,3.6385245766287646,2215.424100767562,783.8064814814815
Andatsakala_semi-intact_forest,-4.66492758867543,1.5435553870122856,1.9590551627648511,2.8631073515157106,2162.6725560996183,476.2391635588234
Mandena_semi-intact_forest,-3.914751846269491,1.4401523744171725,2.920683361917773,4.205416733138694,3650.7304982021624,275.5556149999997
Sarahandrano_semi-intact_forest,-3.7477619999964586,-0.848740917349,0.42682945011988394,0.6666552973489877,2946.1380119027003,812.3260869565217
Andatsakala_village,NA,NA,2.825907561556005,-2.294234866753682,0,135.7547745744681
Mandena_village,NA,NA,2.6985502662555976,-2.2661420312615825,0,93.65893895238095
Sarahandrano_village,NA,NA,3.5572313165172025,-2.8250972219094193,0,551.3482758620689
